"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"Quality Issue","Quality Issue","workflow_state",1,0,0,"b8b241575f","Pending for Physical Verification Officer Approval","Physical Verification Officer","0","","Pending for Physical Verification OfficPending for Physical Verification Officer Approvaler  Approval",0,"","","50be9ea382","Pending for Physical Verification Officer Approval","Approve","Pending for Finance Team Approval","Physical Verification Officer",1,""
"","","","","","","4a1d3f94bb","Resent for Physical Verification Officer Approval","Physical Verification Officer","0","","Resent for Physical Verification Officer Approval",0,"","","50f58fd819","Pending for Physical Verification Officer Approval","Reject","Rejected by Physical Verification Officer","Physical Verification Officer",1,""
"","","","","","","5ee43fd53a","Requested for More Details by Physical Verification Officer","Complaint Registering Team","0","","Requested for More Details by Physical Verification Officer",0,"","","3a1ac9ba6f","Pending for Physical Verification Officer Approval","Request for More Details","Requested for More Details by Physical Verification Officer","Physical Verification Officer",1,""
"","","","","","","78df175e64","Requested for More Details by Finance Team","Complaint Registering Team","0","","Requested for More Details by Finance Team",0,"","","05839d7818","Resent for Physical Verification Officer Approval","Approve","Pending for Finance Team Approval","Physical Verification Officer",1,""
"","","","","","","59db7200b6","Rejected by Physical Verification Officer","Physical Verification Officer","0","","Rejected by Physical Verification Officer",0,"","","32feaa046d","Resent for Physical Verification Officer Approval","Reject","Rejected by Physical Verification Officer","Physical Verification Officer",1,""
"","","","","","","d355eb1fb4","Rejected by Finance Team","Finance Team","0","","Rejected by Finance Team",0,"","","03380c3417","Resent for Physical Verification Officer Approval","Request for More Details","Requested for More Details by Physical Verification Officer","Physical Verification Officer",1,""
"","","","","","","19f131c53b","Pending for Finance Team Approval","Finance Team","0","","Pending for Finance Team Approval",0,"","","dfa0980d9e","Requested for More Details by Physical Verification Officer","Send for Verification","Resent for Physical Verification Officer Approval","Complaint Registering Team",1,""
"","","","","","","5b09670eb6","Resent for Finance Team Approval","Finance Team","0","","Resent for Finance Team Approval",0,"","","ad7f392a34","Requested for More Details by Finance Team","Resend for Finance Team Approval","Resent for Finance Team Approval","Complaint Registering Team",1,""
"","","","","","","92f9cb71f7","Pending for RCA Details","Physical Verification Officer","0","","Pending for RCA Details",0,"","","640fc4106e","Pending for Finance Team Approval","Approve","Pending for RCA Details","Finance Team",1,""
"","","","","","","026a27ba12","Pending for Quality Head Approval","Quality Head","0","","Pending for Quality Head Approval",0,"","","9bb99a21d1","Pending for Finance Team Approval","Reject","Rejected by Finance Team","Finance Team",1,""
"","","","","","","4c01505fe1","RCA Approved","Quality Head","0","","RCA Approved",0,"","","2f930d7064","Pending for Finance Team Approval","Request for More Details","Requested for More Details by Finance Team","Finance Team",1,""
"","","","","","","d53f01babc","Issue Closed","Quality Head","0","","Issue Closed",0,"","","96977d94d5","Resent for Finance Team Approval","Approve","Pending for RCA Details","Finance Team",1,""
"","","","","","","","","","","","","","","","6ee0140e8f","Resent for Finance Team Approval","Reject","Rejected by Finance Team","Finance Team",1,""
